record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
62400001,market analysis,economics,assessment,Simple,6,2025-04-30,Market Analysis Assessment,5
62400002,content marketing,marketing,assessment,Simple,15,2025-04-14,Content Marketing Assessment,7
62400003,data science,it,assessment,Moderate,12,2025-04-19,Data Science Assessment,12
62400004,content marketing,marketing,application,Simple,10,2024-12-30,Content Marketing Application,3
62400005,web development,it,assessment,Moderate,7,2025-05-19,Web Development Assessment,5
62400006,content marketing,marketing,survey,Moderate,11,2025-07-08,Content Marketing Survey,4
62400007,cybersecurity,it,assessment,Simple,15,2025-08-21,Cybersecurity Assessment,10
62400008,digital marketing,marketing,assessment,Simple,10,2025-10-01,Digital Marketing Assessment,10
62400009,web development,it,registration,Moderate,10,2025-07-01,Web Development Registration,3
62400010,investment planning,economics,assessment,Simple,6,2024-10-28,Investment Planning Assessment,9
62400011,content marketing,marketing,survey,Simple,8,2025-10-14,Content Marketing Survey,8
62400012,content marketing,marketing,survey,Simple,10,2025-07-19,Content Marketing Survey,11
62400013,content marketing,marketing,application,Complex,8,2025-03-22,Content Marketing Application,9
62400014,portfolio management,economics,survey,Moderate,5,2025-04-06,Portfolio Management Survey,8
62400015,digital marketing,marketing,assessment,Moderate,14,2025-02-07,Digital Marketing Assessment,11
62400016,financial modeling,economics,registration,Simple,11,2025-02-15,Financial Modeling Registration,5
62400017,brand management,marketing,assessment,Complex,10,2025-04-14,Brand Management Assessment,3
62400018,portfolio management,economics,registration,Moderate,15,2025-06-28,Portfolio Management Registration,7
62400019,machine learning,it,survey,Simple,7,2025-07-02,Machine Learning Survey,5
62400020,financial modeling,economics,application,Simple,14,2024-11-02,Financial Modeling Application,3
62400021,web development,it,application,Simple,13,2025-08-13,Web Development Application,9
62400022,investment planning,economics,registration,Complex,5,2025-06-26,Investment Planning Registration,9
62400023,content marketing,marketing,survey,Complex,14,2025-02-03,Content Marketing Survey,9
62400024,web development,it,registration,Complex,9,2025-01-13,Web Development Registration,9
62400025,brand management,marketing,assessment,Moderate,6,2025-05-19,Brand Management Assessment,8
62400026,financial modeling,economics,registration,Complex,11,2025-01-22,Financial Modeling Registration,12
62400027,digital marketing,marketing,survey,Complex,7,2025-07-24,Digital Marketing Survey,12
62400028,machine learning,it,application,Complex,11,2025-06-29,Machine Learning Application,4
62400029,market analysis,economics,survey,Moderate,14,2024-12-07,Market Analysis Survey,3
62400030,financial modeling,economics,registration,Simple,11,2025-06-03,Financial Modeling Registration,8
62400031,portfolio management,economics,registration,Moderate,9,2025-04-19,Portfolio Management Registration,12
62400032,social media,marketing,assessment,Simple,8,2025-01-04,Social Media Assessment,9
62400033,brand management,marketing,survey,Moderate,8,2025-03-14,Brand Management Survey,12
62400034,digital marketing,marketing,survey,Moderate,10,2024-11-06,Digital Marketing Survey,12
62400035,social media,marketing,assessment,Complex,7,2025-08-24,Social Media Assessment,9
62400036,investment planning,economics,assessment,Moderate,10,2025-05-10,Investment Planning Assessment,6
62400037,portfolio management,economics,application,Simple,14,2025-08-06,Portfolio Management Application,12
62400038,data science,it,assessment,Moderate,9,2025-07-02,Data Science Assessment,10
62400039,cybersecurity,it,registration,Moderate,12,2025-09-06,Cybersecurity Registration,8
62400040,market analysis,economics,survey,Complex,14,2025-04-19,Market Analysis Survey,5
62400041,cloud computing,it,assessment,Moderate,14,2025-02-05,Cloud Computing Assessment,8
62400042,investment planning,economics,registration,Simple,8,2025-01-08,Investment Planning Registration,6
62400043,portfolio management,economics,assessment,Simple,11,2025-06-27,Portfolio Management Assessment,5
62400044,digital marketing,marketing,assessment,Complex,11,2025-09-17,Digital Marketing Assessment,11
62400045,content marketing,marketing,application,Complex,5,2024-11-29,Content Marketing Application,12
62400046,cloud computing,it,assessment,Simple,5,2025-10-20,Cloud Computing Assessment,6
62400047,social media,marketing,registration,Moderate,10,2025-02-07,Social Media Registration,11
62400048,digital marketing,marketing,survey,Moderate,14,2025-07-18,Digital Marketing Survey,8
62400049,digital marketing,marketing,survey,Complex,7,2025-08-29,Digital Marketing Survey,11
62400050,social media,marketing,survey,Simple,9,2024-12-16,Social Media Survey,9
62400051,market analysis,economics,application,Complex,8,2025-09-15,Market Analysis Application,5
