record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
17700001,content marketing,marketing,registration,Simple,9,2025-02-27,Content Marketing Registration,9
17700002,web development,it,application,Complex,14,2025-06-30,Web Development Application,12
17700003,cloud computing,it,survey,Complex,5,2024-12-17,Cloud Computing Survey,9
17700004,machine learning,it,survey,Complex,10,2025-06-12,Machine Learning Survey,8
17700005,content marketing,marketing,registration,Complex,5,2025-08-31,Content Marketing Registration,3
17700006,market analysis,economics,survey,Simple,7,2025-06-12,Market Analysis Survey,8
17700007,portfolio management,economics,registration,Moderate,7,2025-06-03,Portfolio Management Registration,10
17700008,investment planning,economics,registration,Complex,6,2025-03-13,Investment Planning Registration,7
17700009,brand management,marketing,survey,Moderate,14,2025-01-24,Brand Management Survey,9
17700010,portfolio management,economics,survey,Complex,13,2025-02-13,Portfolio Management Survey,8
17700011,brand management,marketing,registration,Complex,15,2025-09-01,Brand Management Registration,12
17700012,financial modeling,economics,assessment,Simple,12,2025-05-31,Financial Modeling Assessment,5
17700013,web development,it,application,Simple,11,2025-02-25,Web Development Application,3
17700014,financial modeling,economics,registration,Simple,13,2024-12-01,Financial Modeling Registration,7
17700015,cybersecurity,it,survey,Complex,6,2024-12-29,Cybersecurity Survey,8
17700016,financial modeling,economics,application,Moderate,8,2024-10-25,Financial Modeling Application,11
17700017,content marketing,marketing,application,Complex,9,2025-06-19,Content Marketing Application,4
17700018,data science,it,survey,Moderate,8,2025-07-31,Data Science Survey,10
17700019,investment planning,economics,registration,Simple,11,2025-02-22,Investment Planning Registration,4
17700020,content marketing,marketing,application,Moderate,15,2024-12-25,Content Marketing Application,6
17700021,machine learning,it,survey,Moderate,13,2025-05-29,Machine Learning Survey,5
17700022,investment planning,economics,registration,Complex,8,2024-11-06,Investment Planning Registration,7
17700023,market analysis,economics,registration,Complex,12,2024-11-04,Market Analysis Registration,7
17700024,digital marketing,marketing,survey,Simple,5,2025-05-09,Digital Marketing Survey,12
17700025,financial modeling,economics,survey,Simple,15,2025-02-04,Financial Modeling Survey,10
17700026,digital marketing,marketing,registration,Moderate,14,2025-01-21,Digital Marketing Registration,9
17700027,investment planning,economics,survey,Complex,10,2025-03-12,Investment Planning Survey,3
17700028,cloud computing,it,assessment,Simple,5,2024-11-21,Cloud Computing Assessment,8
17700029,social media,marketing,survey,Complex,6,2025-09-17,Social Media Survey,5
17700030,web development,it,survey,Simple,6,2025-06-08,Web Development Survey,6
17700031,market analysis,economics,survey,Moderate,12,2025-01-08,Market Analysis Survey,11
17700032,data science,it,assessment,Simple,13,2025-05-10,Data Science Assessment,3
17700033,content marketing,marketing,application,Simple,6,2025-07-02,Content Marketing Application,9
17700034,content marketing,marketing,assessment,Simple,12,2025-10-10,Content Marketing Assessment,7
