record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
78700001,content marketing,marketing,application,Complex,14,2024-12-15,Content Marketing Application,8
78700002,data science,it,assessment,Moderate,12,2025-01-31,Data Science Assessment,8
78700003,cybersecurity,it,application,Simple,7,2025-07-05,Cybersecurity Application,6
78700004,digital marketing,marketing,survey,Complex,5,2025-10-11,Digital Marketing Survey,7
78700005,content marketing,marketing,survey,Simple,7,2024-10-27,Content Marketing Survey,11
78700006,investment planning,economics,survey,Moderate,5,2025-02-01,Investment Planning Survey,11
78700007,investment planning,economics,application,Complex,15,2024-10-30,Investment Planning Application,3
78700008,investment planning,economics,survey,Simple,14,2025-05-17,Investment Planning Survey,7
78700009,web development,it,application,Complex,12,2025-08-03,Web Development Application,9
78700010,cybersecurity,it,registration,Complex,9,2025-02-20,Cybersecurity Registration,3
78700011,cybersecurity,it,registration,Complex,7,2024-12-12,Cybersecurity Registration,8
78700012,portfolio management,economics,registration,Simple,5,2025-08-20,Portfolio Management Registration,3
78700013,cloud computing,it,application,Simple,7,2025-09-09,Cloud Computing Application,11
78700014,cloud computing,it,registration,Complex,6,2025-03-05,Cloud Computing Registration,8
78700015,brand management,marketing,application,Moderate,9,2024-11-05,Brand Management Application,6
78700016,financial modeling,economics,application,Simple,5,2025-02-26,Financial Modeling Application,8
78700017,market analysis,economics,registration,Moderate,12,2025-06-13,Market Analysis Registration,9
78700018,digital marketing,marketing,registration,Complex,9,2025-06-06,Digital Marketing Registration,3
78700019,portfolio management,economics,registration,Moderate,6,2025-04-06,Portfolio Management Registration,4
78700020,investment planning,economics,application,Simple,10,2025-04-11,Investment Planning Application,6
78700021,cybersecurity,it,survey,Moderate,8,2025-04-30,Cybersecurity Survey,10
78700022,digital marketing,marketing,registration,Complex,12,2025-03-16,Digital Marketing Registration,9
78700023,web development,it,registration,Simple,12,2025-03-17,Web Development Registration,8
78700024,machine learning,it,application,Complex,13,2025-02-24,Machine Learning Application,4
78700025,investment planning,economics,application,Simple,8,2025-05-09,Investment Planning Application,4
78700026,financial modeling,economics,survey,Simple,10,2025-05-27,Financial Modeling Survey,7
78700027,portfolio management,economics,application,Complex,13,2025-02-23,Portfolio Management Application,12
78700028,machine learning,it,survey,Moderate,5,2024-11-28,Machine Learning Survey,11
78700029,content marketing,marketing,application,Simple,8,2025-06-05,Content Marketing Application,5
78700030,investment planning,economics,assessment,Complex,10,2025-10-03,Investment Planning Assessment,10
78700031,digital marketing,marketing,application,Simple,10,2025-07-28,Digital Marketing Application,12
78700032,cloud computing,it,registration,Moderate,8,2025-09-14,Cloud Computing Registration,5
78700033,digital marketing,marketing,application,Moderate,12,2025-10-04,Digital Marketing Application,7
78700034,content marketing,marketing,assessment,Moderate,11,2024-11-13,Content Marketing Assessment,10
78700035,market analysis,economics,application,Moderate,5,2025-10-08,Market Analysis Application,7
78700036,market analysis,economics,survey,Moderate,10,2025-04-07,Market Analysis Survey,12
78700037,financial modeling,economics,survey,Moderate,15,2025-02-14,Financial Modeling Survey,8
78700038,digital marketing,marketing,application,Complex,6,2025-10-23,Digital Marketing Application,8
78700039,cybersecurity,it,registration,Moderate,15,2025-05-04,Cybersecurity Registration,4
78700040,social media,marketing,registration,Simple,15,2025-07-31,Social Media Registration,3
78700041,social media,marketing,registration,Complex,5,2025-07-30,Social Media Registration,5
78700042,investment planning,economics,registration,Moderate,10,2025-07-13,Investment Planning Registration,3
78700043,investment planning,economics,registration,Moderate,6,2025-06-19,Investment Planning Registration,11
78700044,content marketing,marketing,assessment,Simple,15,2025-03-10,Content Marketing Assessment,3
78700045,market analysis,economics,registration,Simple,10,2025-06-27,Market Analysis Registration,5
78700046,machine learning,it,assessment,Complex,12,2024-12-25,Machine Learning Assessment,5
78700047,web development,it,survey,Moderate,15,2024-10-31,Web Development Survey,12
78700048,market analysis,economics,assessment,Complex,15,2025-02-17,Market Analysis Assessment,6
78700049,digital marketing,marketing,registration,Complex,13,2025-07-21,Digital Marketing Registration,6
78700050,investment planning,economics,registration,Complex,9,2025-09-09,Investment Planning Registration,4
78700051,machine learning,it,assessment,Moderate,8,2025-10-03,Machine Learning Assessment,5
78700052,investment planning,economics,application,Complex,7,2025-08-10,Investment Planning Application,8
78700053,financial modeling,economics,survey,Simple,10,2024-11-05,Financial Modeling Survey,11
78700054,market analysis,economics,assessment,Simple,6,2025-05-11,Market Analysis Assessment,3
78700055,brand management,marketing,assessment,Moderate,8,2024-12-19,Brand Management Assessment,4
78700056,market analysis,economics,registration,Complex,6,2024-11-01,Market Analysis Registration,3
78700057,brand management,marketing,assessment,Moderate,14,2024-12-20,Brand Management Assessment,5
78700058,web development,it,application,Complex,6,2025-03-08,Web Development Application,9
78700059,cybersecurity,it,assessment,Moderate,13,2025-03-08,Cybersecurity Assessment,8
78700060,investment planning,economics,assessment,Complex,6,2025-09-25,Investment Planning Assessment,5
78700061,machine learning,it,registration,Complex,7,2025-05-24,Machine Learning Registration,4
78700062,digital marketing,marketing,survey,Simple,14,2024-12-13,Digital Marketing Survey,8
