record_id,keyword,category,form_type,complexity,num_fields,created_date,form_title,estimated_time
37200001,machine learning,it,survey,Moderate,9,2025-06-17,Machine Learning Survey,11
37200002,data science,it,application,Complex,15,2025-06-12,Data Science Application,11
37200003,content marketing,marketing,assessment,Complex,12,2024-12-02,Content Marketing Assessment,7
37200004,brand management,marketing,registration,Moderate,6,2025-05-20,Brand Management Registration,5
37200005,cloud computing,it,assessment,Simple,10,2024-12-13,Cloud Computing Assessment,8
37200006,content marketing,marketing,assessment,Moderate,11,2025-06-27,Content Marketing Assessment,8
37200007,social media,marketing,survey,Complex,5,2024-12-24,Social Media Survey,9
37200008,market analysis,economics,assessment,Simple,9,2024-11-18,Market Analysis Assessment,11
37200009,financial modeling,economics,application,Moderate,11,2025-04-02,Financial Modeling Application,3
37200010,content marketing,marketing,survey,Simple,12,2025-06-05,Content Marketing Survey,7
37200011,financial modeling,economics,registration,Moderate,13,2025-08-09,Financial Modeling Registration,4
37200012,portfolio management,economics,survey,Moderate,12,2025-09-02,Portfolio Management Survey,3
37200013,portfolio management,economics,survey,Complex,13,2025-01-31,Portfolio Management Survey,11
37200014,data science,it,application,Simple,12,2025-05-12,Data Science Application,3
37200015,portfolio management,economics,application,Moderate,11,2025-02-19,Portfolio Management Application,6
37200016,web development,it,assessment,Simple,7,2024-10-31,Web Development Assessment,4
37200017,content marketing,marketing,application,Moderate,13,2025-01-20,Content Marketing Application,4
37200018,social media,marketing,survey,Simple,12,2024-12-12,Social Media Survey,9
37200019,social media,marketing,survey,Simple,5,2025-08-30,Social Media Survey,5
37200020,digital marketing,marketing,registration,Simple,13,2025-10-04,Digital Marketing Registration,4
37200021,digital marketing,marketing,application,Complex,11,2025-07-28,Digital Marketing Application,3
37200022,cloud computing,it,assessment,Moderate,6,2025-09-24,Cloud Computing Assessment,6
37200023,cybersecurity,it,survey,Moderate,15,2025-08-16,Cybersecurity Survey,11
37200024,portfolio management,economics,survey,Complex,15,2024-11-22,Portfolio Management Survey,10
37200025,market analysis,economics,survey,Complex,9,2025-10-06,Market Analysis Survey,12
37200026,cybersecurity,it,registration,Moderate,6,2024-12-06,Cybersecurity Registration,5
37200027,social media,marketing,application,Simple,11,2025-04-02,Social Media Application,11
37200028,investment planning,economics,survey,Moderate,11,2024-12-19,Investment Planning Survey,3
37200029,cybersecurity,it,assessment,Complex,10,2024-11-20,Cybersecurity Assessment,12
37200030,market analysis,economics,assessment,Moderate,15,2025-03-18,Market Analysis Assessment,3
37200031,cybersecurity,it,application,Simple,15,2025-02-10,Cybersecurity Application,7
37200032,portfolio management,economics,application,Complex,11,2025-04-19,Portfolio Management Application,8
37200033,investment planning,economics,application,Complex,15,2025-02-13,Investment Planning Application,6
37200034,investment planning,economics,application,Complex,15,2025-05-11,Investment Planning Application,9
37200035,investment planning,economics,assessment,Moderate,6,2025-06-21,Investment Planning Assessment,4
37200036,investment planning,economics,assessment,Complex,15,2025-07-15,Investment Planning Assessment,11
37200037,social media,marketing,application,Moderate,11,2025-04-30,Social Media Application,11
37200038,machine learning,it,survey,Complex,12,2025-07-30,Machine Learning Survey,8
37200039,data science,it,application,Complex,7,2025-07-09,Data Science Application,10
37200040,web development,it,survey,Moderate,7,2025-04-05,Web Development Survey,3
37200041,investment planning,economics,survey,Complex,11,2025-04-09,Investment Planning Survey,7
37200042,web development,it,assessment,Moderate,7,2025-01-28,Web Development Assessment,10
37200043,brand management,marketing,assessment,Complex,9,2025-07-22,Brand Management Assessment,8
37200044,web development,it,registration,Moderate,8,2025-06-22,Web Development Registration,4
37200045,machine learning,it,survey,Complex,8,2025-05-19,Machine Learning Survey,11
37200046,web development,it,application,Simple,12,2025-01-30,Web Development Application,9
37200047,market analysis,economics,registration,Complex,5,2025-10-09,Market Analysis Registration,9
37200048,cybersecurity,it,survey,Simple,10,2025-10-08,Cybersecurity Survey,10
37200049,content marketing,marketing,registration,Complex,12,2024-11-10,Content Marketing Registration,3
37200050,cybersecurity,it,assessment,Complex,6,2025-04-12,Cybersecurity Assessment,9
37200051,digital marketing,marketing,survey,Simple,11,2025-04-12,Digital Marketing Survey,3
37200052,cybersecurity,it,application,Simple,5,2025-01-11,Cybersecurity Application,9
37200053,market analysis,economics,assessment,Simple,10,2024-11-28,Market Analysis Assessment,8
37200054,digital marketing,marketing,assessment,Simple,5,2024-11-24,Digital Marketing Assessment,11
37200055,content marketing,marketing,assessment,Complex,13,2025-02-25,Content Marketing Assessment,8
37200056,brand management,marketing,assessment,Moderate,15,2025-05-26,Brand Management Assessment,11
37200057,web development,it,assessment,Moderate,9,2025-04-18,Web Development Assessment,8
37200058,digital marketing,marketing,assessment,Simple,11,2025-07-11,Digital Marketing Assessment,3
37200059,machine learning,it,registration,Simple,13,2025-04-30,Machine Learning Registration,7
37200060,web development,it,registration,Moderate,11,2025-04-11,Web Development Registration,11
37200061,machine learning,it,registration,Simple,7,2025-01-10,Machine Learning Registration,12
37200062,investment planning,economics,assessment,Complex,8,2025-03-16,Investment Planning Assessment,5
37200063,cloud computing,it,survey,Complex,10,2025-02-07,Cloud Computing Survey,10
